account_value,date,daily_return
63962422.35,2020-01-06,
64454922.35,2020-01-07,0.007699833463233441
63309022.35,2020-01-08,-0.017778316352280887
63821122.35,2020-01-09,0.008088894457552787
64746222.35,2020-01-10,0.014495201054702145
66251822.35,2020-01-13,0.023253866331554462
66115322.35,2020-01-14,-0.002060320684899586
66085322.35,2020-01-15,-0.00045375260883073754
65963422.35,2020-01-16,-0.0018445850858439528
65928522.35,2020-01-17,-0.0005290810991404049
65891922.35,2020-01-20,-0.0005551466754509793
67036022.35,2020-01-21,0.017363281555557775
68420022.35,2020-01-22,0.020645616363901054
66897822.35,2020-01-30,-0.02224787346916135
67027722.35,2020-01-31,0.0019417672419945742
66908276.0,2020-02-03,-0.001782043993323934
68079897.1,2020-02-04,0.017510854711007662
66846997.099999994,2020-02-05,-0.018109604340162844
66223997.099999994,2020-02-06,-0.00931979037245334
64251497.099999994,2020-02-07,-0.029785275525146426
60732197.099999994,2020-02-10,-0.05477382098229744
63107697.099999994,2020-02-11,0.039114343189141865
62996797.099999994,2020-02-12,-0.0017573133721591194
62450097.099999994,2020-02-13,-0.008678218975675556
61904497.099999994,2020-02-14,-0.008736575687405934
63970097.099999994,2020-02-17,0.03336752734883297
64711297.099999994,2020-02-18,0.011586663669453712
63769597.099999994,2020-02-19,-0.014552327680045885
63672597.099999994,2020-02-20,-0.001521101032642358
61233097.099999994,2020-02-21,-0.03831318512371473
57067497.099999994,2020-02-24,-0.06802856947113334
60420097.099999994,2020-02-25,0.05874797687596511
57960197.099999994,2020-02-26,-0.04071327452401596
58039497.099999994,2020-02-27,0.0013681803024785388
55930597.099999994,2020-02-28,-0.036335600847237526
55367397.099999994,2020-03-02,-0.010069622517940191
57784797.099999994,2020-03-03,0.04366107360318727
56725897.099999994,2020-03-04,-0.018324889125551636
57416697.099999994,2020-03-05,0.012177859413703196
57687797.099999994,2020-03-06,0.004721623041601175
53586297.099999994,2020-03-09,-0.0710982253818806
51828397.099999994,2020-03-10,-0.03280502843328581
52001439.699999996,2020-03-11,0.0033387604032231177
48145655.449999996,2020-03-12,-0.07414764422378095
45567155.449999996,2020-03-13,-0.05355623422092182
45540217.199999996,2020-03-16,-0.0005911769065672923
45496417.199999996,2020-03-17,-0.0009617872441767261
45485417.199999996,2020-03-18,-0.00024177727999208365
43831573.449999996,2020-03-19,-0.03635986766325627
43451273.449999996,2020-03-20,-0.008676393979646146
43673138.199999996,2020-03-23,0.005106058634974264
44951988.49999999,2020-03-24,0.029282308364091847
44756510.9,2020-03-25,-0.004348586269993238
44866010.9,2020-03-26,0.0024465714104626723
44958210.9,2020-03-27,0.0020550077475240958
45059510.9,2020-03-30,0.002253203541068949
44917570.49999999,2020-03-31,-0.0031500652618048353
44742254.89999999,2020-04-01,-0.0039030517022287103
47847825.099999994,2020-04-03,0.06941022992562673
51343125.099999994,2020-04-06,0.07305034226101115
51724725.099999994,2020-04-07,0.007432348522937948
53065625.099999994,2020-04-08,0.025923772381730936
52711325.099999994,2020-04-09,-0.006676638583496097
